"StockNo","xVIN","categorie","xAirCleaners","xAirHorns","xAirSeatDriver","xAirSeatPassenger","xAppraisalACV","xAppraisalReference","xAPU","xAtmtcTrctnCntrl","xBlockHeater","xBodyStyle","xBranch","xBranchOrdered","xBuildDate","xBunk","xCA","xCabConfiguration","xCBRadio","xChassisCost","xChromeBumper","xColorExterior","xColorExteriorCode","xCondition","xCustomerID","xCustomerName","xCustStock","xCylinders","xDateInService","xDateReceived","xDaysOnHand","xDepartment","xDriveLine","xDriverSeat","xEngineBrake","xEngineHours","xEngineHP","xEngineManufacturer","xEngineModel","xEngineSN","xEngineTorque","xEstDelMo","xExhaust","xExpectedArrival","xFactoryFET","xFactoryWarranty","xFifthWheel","xFleetVehicleID","xFlooring","xFlooringDate","xFontWheels","xFrame","xFrntAxlMnfctrr","xFrontAxleModel","xFrontAxleSN","xFrontAxleWeight","xFrontBreaks","xFrontSuspension","xFrontTires","xFuelType","xGVWR","xHeatedMirrors","xInteriorClass","xInteriorColor","xInteriorColorCode","xInternalComments","xInventoryCost","xInvoice","xInvoiceDate","xKeyCode1","xKeyCode2","xLeftFuelTank","xLiftAxle","xLiftAxleWeight","xLockers","xLotLocation","xMake","xMiscEquipment","xModel","xOdometer","xOdometerKM_Miles","xOH","xOnHoldFor","xOrderDate","xOurPrice","xPassengerSeat","xPODate","xPONum","xPowerLocks","xPrePaidFreight","xPreviousOwner","xProductClass","xRearAxleFrontModel","xRearAxleFrontSN","xRearAxleRatio","xRearAxleRearModel","xRearAxleRearSN","xRearAxleWeight","xRearBreaks","xRearTires","xRearWheels","xRefrigerator","xRightFuelTank","xRrAxlFrntMnfctrr","xRrAxlRrMnfctrr","xSalesmanOrdered","xSatelliteRadio","xScheduleDate","xSellingStatus","xSleeper","xSleeperType","xSoldDate","xSpeeds","xStatus","xStereo","xSuspensionType","xThumbnail","xTrailerLength","xTrailerType","xTrailerWidth","xTransmission","xTransmissionModel","xTransmissionSN","xTRLAxleType","xTrnsmssnMnfctrr","xType","xVehicleType","xWebComments","xWheelbase","xYear","web_link","Photos"
"988918A","1XKYDP9X3HJ988918","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","RED/WHITE","","Used","P50","INT USED TRUCK INVENTORY","","","","3/18/2021 12:00:00 AM","25","Used","","","","","455","Pacar","MX13","","1750","","SINGLE HORIZONTAL","","","","","988918A","","","","","","","","13200","","","11R22.5 ALUMINUM","","0","","","","","","","","","","","100 Gallon","","","","Bergen","KENWORTH","","T680","1181568.0","Kilometers","","","","0.000000000","","","","","","","Units","","","2.85","","","40000","","11R22.5 ALUMINUM","","","100 Gallon","","","","","","Available","76RR","","","","Available - In Stock","","","","","","","","10 Speed Auto Ultra Shift","","","Eaton","Truck","Used Truck","","226","2017","",""
"71112519","2M513161971112519","TLR","","","","","","","","","","Flatdeck","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","Red","","Used","P52","INT USED TRAILERS","","","","3/16/2021 4:40:49 PM","27","Used","","","","","N/A","N/A","N/A","","","","","","","","","71112519","","","","","","","","N/A","","","","","1","","","","","","","","","","","","","","","Bergen","MANAC","","FLATBED","","Kilometers","","","","21900.000000000","","","","","","YK TRANSPORT LTD","Units","","","N/A","","","N/A","","","Steel","","","","","","","","Available","N/A","","","","Available - In Stock","","Tridem Air RIde","","53'","","102""","","N/A","","Manual Slide/Travel","N/A","Trailer","Used Trailers","","N/A","2007","","https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-06.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-07.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-08.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-09.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-10.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-11.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-12.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-13.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/71112519/71112519-14.jpg"
"004602","1HA6GVBG4KN004602","BUS","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","Used","P153","INT NEW TRUCK MD INVENTORY","","","","3/19/2021 12:00:00 AM","24","New","","","","","","","","","","","","","","","","004602","","","","","","","","","","","","","0","","","","","","","","","","","","","","","Bergen","Diamond","","VIP2500","1.0","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","","","","","","","","","Available","","","","","Available - In Stock","","","","","","","","","","","","Bus","New Bus","","0","2019","",""
"988896A","1XKYDP9X8HJ988896","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","WHITE/RED","","Used","P50","INT USED TRUCK INVENTORY","","","","3/24/2021 12:00:00 AM","19","Used","","","","","455","Pacar","MX13","","1650","","SINGLE HORIZONTAL","","","","","988896A","","","","","","","","13200","","","11R22.5 ALUMINUM RIMS","","0","","","","","Factory installed inverter

Batt APU","","","","","","100 GALLON","","","","Bergen","KENWORTH","","T680","1023751.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.70","","","40000","","11R22.5 ALUMINUM RIMS","","","100 GALLON","","","","","","Available","76RR","","","","Available - In Stock","","","","n/a","","","","Ultra Shift Auto","","","Eaton","Truck","Used Truck","","226","2017","",""
"A36231A","1FUYNMDB7WLA36231","TRK","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","Red","","Used","P50","INT USED TRUCK INVENTORY","","","","","","Used","","","","","330","Cummins","","","","","","","","","","A36231A","","","","","","","","12000","","","","","0","","","","","","","","","","","","","","","","FREIGHTLINER","","CENTURY","1018404.0","Kilometers","","","","0.000000000","","","","","","","Units","","","3.07","","","40000","","","","","","","","","","","Not Available","","","","","Potential Trade-In","","","","","","","","","","","Eaton","Truck","Used Truck","","","1999","",""
"LH055155","5MASA5327LH055155","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","All Alum","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","N/A","","","","","","","","","","","LH055155","","","","","","","","N/A","","","","","1","","","","","","","","","","","","","","","In transit","MAC","","STEP DECK","","Kilometers","","","","65980.000000000","","","","","","","Units","","","N/A","","","N/A","","","Alcoa Ultra HP","","","","","","","","Available","N/A","","","","Available - In Stock","","Rear Axle Slide","","53'","","102""","","N/A","","Manual Slide/Travel","N/A","Trailer","New Trailers","","N/A","2021","","https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055155/LH055155-06.jpg"
"NN7537","NN7537","TRK","","","1","1","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","Double","","","","","","ORANGE","","New","P152","INT NEW TRUCK HD INVENTORY","","","","","","New","","","","","505","Detroit","DD15","","1750","","","","","","","NN7537","","","","","","","","13300","","","11R22.5 MICHELIN X","","1","1","","TAN","","","","","","","","150 GALLON","","","","","WESTERN STAR","","5700","","None","","","","0.000000000","","","","1","","","Units","","","2.85","","","40000","","11R22.5 MICHELIN X","","1","150 GALLON","","","","","","Available","82RR STRATOSPHERE","","","12","Available - On Order","","","","N/A","","","","DT12","","","Detroit","Truck","New Heavy Duty","","244","2022","",""
"LH055157","5MASA5320LH055157","TLR","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","New","P78","INT NEW TRAILER INVENTORY","","","","","","New","","","","","N/A","N/A","N/A","","","","","","","","","LH055157","","","","","","","","N/A","","","","","0","","","","","","","","","","","","","","","In transit","MAC","","STEP DECK","","Kilometers","","","","65980.000000000","","","","","","","Units","","","N/A","","","N/A","","","Alcoa Ultra HP","","","","","","","","Available","N/A","","","","Available - In Stock","","Rear Axle Slide","","53'","","102","","N/A","","Manual Slide/Travel","N/A","Trailer","New Trailers","","N/A","2021","","https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-01.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-02.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-03.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-04.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-05.jpg;https://tstruck.truckcrm.com/JPG/inventory/vehicle/LH055157/LH055157-06.jpg"
"C07485","1FDFE4FN9MDC07485","BUS","","","","","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","","","","","","","","","Used","P153","INT NEW TRUCK MD INVENTORY","","","","","","New","","","","","","","","","","","","","","","","C07485","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","FORD","","Diamond","","Kilometers","","","","0.000000000","","","","","","","Units","","","","","","","","","","","","","","","","","Available","","","","","Available - In Stock","","","","","","","","","","","","Bus","New Bus","","","2021","",""
"NN7658","NN7658","TRK","","","1","1","","","","","","","WPG-Transolutions Truck Centres Ltd.","","","NONE","","","","","","WHITE","","New","P152","INT NEW TRUCK HD INVENTORY","","","","","","New","","","","","505","Detroit","DD15 GEN 5","","1750","","","9/27/2021 12:00:00 AM","","","","NN7658","","","","","","","","13300","","","11R22.5 MICHELIN X","","0","1","","BROWN","","","","","","","","120 GALLON","","","","","WESTERN STAR","","4900","","Kilometers","","","","0.000000000","","","","1","","","Units","","","3.42","","","46000","","11R22.5 MICHELIN X","","","120 GALLON","","","","","","Available","DAY CAB","","","12","Available - On Order","","","","N/A","","","","DT12","","","Detroit","Truck","New Heavy Duty","","200","2022","",""
